,Unnamed: 0.1,Unnamed: 0,Trip,total_distance,timestamp,longitude_min,latitude_min,longitude_max,latitude_max,start_lat,end_lat,start_long,end_long,start_altitude,end_altitude,slope,delta_altitude
349,349,349,2241,4548.537606868715,235900,-83.7199433333,42.2305591667,-83.6998091667,42.2449966667,42.2440938889,42.2305591667,-83.7199433333,-83.6998091667,248.969009399,257.870178223,0.019569335547431527,8.901168823999996
350,350,350,2247,12134.378641170491,390500,-83.7672002778,42.2421927778,-83.7274633333,42.2474802778,42.2421927778,42.2473441667,-83.7672002778,-83.7276880556,279.523101807,251.202026367,-0.023339598520086616,-28.321075439999987
351,351,351,2253,1716.748835656908,306400,-83.7511947222,42.2437183333,-83.7442402778,42.2640691667,42.2640691667,42.2437758333,-83.7502080556,-83.7442402778,271.082794189,262.807739258,-0.04820245625368621,-8.275054931
352,352,352,2255,6075.741968986438,564400,-83.7481627778,42.2778991667,-83.7028163889,42.2947427778,42.2780533333,42.2947427778,-83.7481627778,-83.7042016667,257.054138184,252.797317505,-0.007006258240582802,-4.256820679000015
353,353,353,2259,10474.377883445017,625000,-83.7473769444,42.2776994444,-83.7030244444,42.2949352778,42.2779569444,42.2949352778,-83.7473769444,-83.70443,258.29901123,258.042022705,-0.0002453496789375167,-0.256988524999997
354,354,354,2265,10612.547690035584,689000,-83.7462697222,42.2774066667,-83.7028791667,42.2952272222,42.2778858333,42.2952272222,-83.7462697222,-83.7043752778,260.07611084,258.872833252,-0.001133825383761724,-1.2032775879999917
355,355,355,2272,7505.475533690265,795700,-83.7442169444,42.2778975,-83.7029741667,42.2950836111,42.2778975,42.2950836111,-83.7442169444,-83.704425,263.887817383,258.638000488,-0.006994650979374871,-5.249816895000038
356,356,356,2273,3597.8048259293214,564200,-83.7463905556,42.2532644444,-83.7286597222,42.2795086111,42.2795086111,42.2532644444,-83.7463075,-83.7286597222,259.230957031,251.99005127,-0.02012594005536298,-7.240905760999993
357,357,357,2277,7717.428541510359,1275900,-83.7511319444,42.2532622222,-83.7203186111,42.2999022222,42.2978277778,42.2533172222,-83.7203186111,-83.7282080556,272.874755859,252.317749023,-0.026637214268345276,-20.557006836
358,358,358,2279,5921.3321365392285,1197800,-83.7493133333,42.2570944444,-83.7271633333,42.2980708333,42.2570944444,42.2848061111,-83.7271633333,-83.7493133333,254.951416016,243.076965332,-0.0200537215052617,-11.87445068400001
359,359,359,2280,3439.5668606680606,457200,-83.7514897222,42.2523261111,-83.7282644444,42.2740591667,42.2740591667,42.2523261111,-83.7514897222,-83.7282644444,250.854141235,251.482467651,0.001826760321681249,0.6283264160000215
360,360,360,2281,3146.982049740239,196600,-83.7562883333,42.2435719444,-83.7346897222,42.2447886111,42.2440794444,42.2447886111,-83.7346897222,-83.7562883333,257.18347168,275.282775879,0.05751416201927395,18.09930419899996
361,361,361,2287,12336.567291689074,1380400,-83.7442208333,42.2608088889,-83.6776833333,42.3091844444,42.2608088889,42.309175,-83.7299108333,-83.6776833333,254.791702271,276.126159668,0.01729369993713663,21.334457397000023
362,362,362,2289,1149.4488056247678,64200,-83.6828038889,42.3078452778,-83.6778183333,42.3092233333,42.3078452778,42.3091375,-83.6828038889,-83.6778183333,269.708679199,276.032196045,0.05501430344071733,6.323516845999961
363,363,363,2290,8180.89172755899,1043000,-83.7248458333,42.2441211111,-83.6779475,42.3095652778,42.3095652778,42.2464552778,-83.6779475,-83.7248458333,276.694061279,249.904251099,-0.03274698494253938,-26.78981017999999
364,364,364,2297,3237.0118162516706,245700,-83.7188741667,42.2868633333,-83.7031313889,42.2952308333,42.2872708333,42.2952308333,-83.7188741667,-83.7045375,244.937210083,258.793884277,0.04280738514361318,13.856674194000021
365,365,365,2298,7609.263693454255,236500,-83.7495861111,42.2432066667,-83.7275833333,42.2464761111,42.2461425,42.2464761111,-83.7495861111,-83.7279411111,267.323638916,251.640640259,-0.020610446159723936,-15.682998656999985
366,366,366,2300,3875.4295427685856,422800,-83.7594861111,42.2287155556,-83.7276330556,42.2448719444,42.2448719444,42.2360280556,-83.7276330556,-83.7593444444,252.073501587,268.738189697,0.043001277663739144,16.664688109999986
367,367,367,2305,4584.660227644637,661800,-83.7464002778,42.2550252778,-83.725885,42.2870155556,42.2870155556,42.2550252778,-83.7437258333,-83.725885,242.251647949,255.431045532,0.028746845751940243,13.179397583000025
